# Data from CRU TS v4.01 Observations
# https://crudata.uea.ac.uk/cru/data/hrg/
# Note: temperature is multiplied by 10 (ºC*10)
local year jan feb mar apr may jun jul aug sep oct nov dec
LISBOA 1991 108 111 137 150 194 209 238 246 231 170 145 117
LISBOA 1992 96 118 153 161 194 187 232 241 209 170 155 126
LISBOA 1993 107 126 139 146 162 208 235 227 196 161 136 125
LISBOA 1994 117 118 160 154 168 214 219 229 210 188 153 132
LISBOA 1995 128 131 150 167 189 200 229 237 201 196 162 133
LISBOA 1996 123 114 136 160 168 224 227 218 201 177 144 123
LISBOA 1997 113 113 179 181 172 191 223 218 220 194 155 132
LISBOA 1998 123 141 160 141 169 200 223 232 207 178 152 110
LISBOA 1999 109 116 143 162 178 206 225 222 207 181 134 122
LISBOA 2000 96 139 154 136 178 216 223 230 212 178 142 138
LISBOA 2001 126 131 148 159 179 213 214 224 211 187 134 102
LISBOA 2002 125 134 149 155 168 197 218 221 201 190 149 137
LISBOA 2003 115 120 147 154 194 217 223 245 226 176 147 115
LISBOA 2004 126 120 131 156 179 229 234 231 217 181 139 117
LISBOA 2005 106 105 140 159 186 228 214 243 217 190 137 120
LISBOA 2006 102 112 141 168 196 211 239 243 221 196 168 116
LISBOA 2007 112 132 144 159 175 196 222 221 215 193 150 117
LISBOA 2008 133 138 139 166 167 217 222 218 207 179 131 114
LISBOA 2009 107 123 161 145 185 218 219 235 217 205 158 123
LISBOA 2010 115 111 134 171 181 204 242 250 220 175 139 -9999
LISBOA 2011 112 127 137 187 205 212 213 221 219 207 147 122
LISBOA 2012 117 110 155 138 193 209 219 228 226 180 136 136
LISBOA 2013 122 113 127 154 168 205 231 240 221 189 139 117
LISBOA 2014 126 120 137 160 185 205 220 222 215 208 151 116
LISBOA 2015 109 112 140 167 201 222 227 228 205 185 160 139
LISBOA 2016 135 126 128 146 172 216 243 247 226 189 147 128
LISBOA 2017 111 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
